Diameter,Tortuosity,Length
11.6666666666667,6.25,225
18.75,1.07692307692308,42
12,2,6
23,1.30769230769231,51
13.8461538461538,1.42553191489362,201
15,2,6
8.25,1.03333333333333,93
6.69230769230769,1.06666666666667,48
14.0689655172414,5,225
7.56521739130435,2,90
8.59090909090909,1.4375,69
9,1.33333333333333,24
11.7391304347826,1.18181818181818,78
9,2,6
8.76,1.55555555555556,84
8.625,2.2,33
11.5,1.33333333333333,60
18.8181818181818,1.05,63
8.22222222222222,1.76315789473684,201
10.1860465116279,4.15384615384615,162
6.42857142857143,1.23529411764706,63
10.2857142857143,1.33333333333333,36
10.5,1.85714285714286,39
16.2,1.07142857142857,45
17.1428571428571,1.21052631578947,69
12.1666666666667,1.86363636363636,123
18.375,1.1,33
9,4,12
6,2,6
12.4615384615385,1.8125,87
22.9285714285714,1.06666666666667,96
16.6363636363636,1.91666666666667,69
21,1.5,9
6,1.08333333333333,39
11,4,12
11.25,2,6
18.4,1.10526315789474,63
7.6875,1.37837837837838,153
18,1.57142857142857,33
21,1.11111111111111,60
15,1.4,63
16.8,1.2,18
9.17647058823529,1.4375,69
11,1.09090909090909,36
30,1.28571428571429,27
6.5,1.15384615384615,45
12,1.86666666666667,84
13.6666666666667,1.25,45
32.4,1.11111111111111,30
10.2857142857143,1.08571428571429,114
11.3333333333333,1.19047619047619,75
17.7,1.46153846153846,57
13.5,1.09090909090909,36
6,1.09090909090909,36
10.3846153846154,1.07692307692308,42
12.2222222222222,1.75,105
11.25,2,6
15,1.71428571428571,108
14.4375,2.09090909090909,69
12.75,1.27777777777778,69
7.5,1.08333333333333,39
12,2,6
11.7,2.08695652173913,144
10.2,1.19047619047619,75
7.38461538461539,1.07692307692308,42
7.97560975609756,1.19047619047619,150
16.2,1.09090909090909,36
7.125,1.11111111111111,30
9.42857142857143,1.14285714285714,24
19,1.28571428571429,27
12,2.5,60
7.875,1.125,27
9.54545454545454,1.09090909090909,36
7.5,1.18181818181818,39
10.4571428571429,2.27272727272727,150
14.7272727272727,1.4,63
15.6428571428571,1.5,81
15.15,1.61538461538462,63
17.0625,1.05263157894737,60
11.3684210526316,1.26315789473684,72
9.4,1.35714285714286,57
10.5,1.08333333333333,39
26.4,1.08333333333333,78
14.4,1.14285714285714,24
12.1935483870968,1.5,126
12,1.4375,69
8.57142857142857,1.14285714285714,24
10.5,1.14285714285714,24
16.7142857142857,1.1,33
8.11764705882353,1.38461538461538,54
8,1.14285714285714,120
10,1.28571428571429,27
18.3333333333333,1.1,33
12.8,1.05555555555556,57
20.4545454545455,1.0952380952381,69
12,2,6
23.25,1.07692307692308,42
12.4285714285714,1.1,33
12.5,1.125,27
9.42857142857143,1.14285714285714,24
7.33333333333333,1.1,33
7.83333333333333,1.6,72
14,1.05,63
8,1.125,108
14.25,1.07407407407407,87
13.6363636363636,2.41176470588235,246
18.6,1.4,63
13.2,1.22727272727273,81
8.89285714285714,2.05555555555556,111
11.4545454545455,1.2,36
9.14285714285714,1.46666666666667,66
18.6,1.15384615384615,45
10.0344827586207,1.04878048780488,129
10.6153846153846,1.19047619047619,75
13.8461538461538,1.1875,57
17.25,1.42857142857143,60
11.1428571428571,1.1304347826087,78
9.15789473684211,2.27272727272727,75
10.2857142857143,1.66666666666667,30
11.88,1.8695652173913,129
7.5,1.16666666666667,21
10.5,1.125,27
8.18181818181818,3.54545454545455,117
6.81818181818182,1.09090909090909,36
16,1.125,27
17.625,1.125,27
7.5,1.6,72
11.6470588235294,1.05555555555556,57
7.8,1.2,18
18,1.11111111111111,60
13.65,1.5,72
21.6,2,48
13.7727272727273,1.03846153846154,81
6.64285714285714,1.25,45
10.2857142857143,1.11111111111111,30
15.3157894736842,1.76190476190476,111
13.4285714285714,1.53333333333333,69
11.2285714285714,3.47058823529412,177
11.1176470588235,2.14285714285714,180
13.3333333333333,1.25,30
13,1.22222222222222,33
16.6,1.15789473684211,132
10.5882352941176,2.75,132
10.2,1.04,78
10.2,1.3,117
10,1.25,30
7.2,1.41666666666667,51
8.07692307692308,1.6,48
10.5,1.5,36
9.73333333333333,1.78125,171
12.6666666666667,1.11111111111111,30
9.88235294117647,1.05263157894737,60
24,1.04761904761905,66
21,1.25,30
8.25,1.53333333333333,69
11.3684210526316,3,72
7.875,1.125,27
15.7142857142857,1.16666666666667,84
7.38461538461539,1.07692307692308,42
15.125,1.31578947368421,150
12.75,1.07692307692308,42
8.34375,2.71428571428571,114
9.27272727272727,1.5,45
14.5116279069767,1.28947368421053,147
12,2,6
9.75,1.14285714285714,48
13,1.16666666666667,21
11.7692307692308,1.07142857142857,45
8.7,1.0952380952381,69
15.4615384615385,1.05263157894737,60
13,1.33333333333333,12
15,1.72,129
19.5,1.28571428571429,27
10.1111111111111,1.25,90
11.6,1.05,63
12.6923076923077,1.25,60
12.4285714285714,1.26086956521739,87
9.32142857142857,1.38095238095238,87
15.6666666666667,1.5,63
10.8,1.06666666666667,48
11.25,1.5,72
9.78260869565217,1.1875,114
7.5,1.5,27
15,1.4,21
8.625,1.53333333333333,69
11,1.2,54
11.6590909090909,2.66666666666667,144
9,2,6
11.4,1.125,27
9,1.14285714285714,24
11.25,2,6
6.33333333333333,1.11111111111111,30
19.3636363636364,1.25,45
10.7142857142857,1.08333333333333,39
10.3333333333333,1.22222222222222,33
10.8461538461538,1.05,63
15,1.33333333333333,24
12.3333333333333,1.13333333333333,51
9.9,1.58333333333333,114
18.75,1.72222222222222,93
10.8,1.22222222222222,33
11.3333333333333,2.12,318
7.2,1.06666666666667,48
10.0909090909091,1.77777777777778,48
7.26923076923077,1.41379310344828,123
9.6,1.2,36
11.25,1.08333333333333,39
11.25,1.33333333333333,24
9,2,6
19.1052631578947,1.4,63
9.85714285714286,1.33333333333333,36
14.1333333333333,2.07692307692308,162
10.7,1.58333333333333,114
11.25,2.0625,99
12.7142857142857,1.10714285714286,93
15,1.125,27
7,2.2,33
13.9411764705882,1.13636363636364,75
11.8125,1.05263157894737,60
18,1.11111111111111,30
11.2040816326531,2.62962962962963,213
11.1428571428571,1.25,30
8.66666666666667,1.11111111111111,30
13.1454545454545,2.21212121212121,219
9.19672131147541,2.77777777777778,225
10.5,1.11111111111111,30
10.6666666666667,1.1,33
7.63636363636364,1.18181818181818,39
15.8571428571429,2,48
6.75,1.66666666666667,60
6.27272727272727,1.44444444444444,39
7.6046511627907,1.41666666666667,153
13.3636363636364,1.20833333333333,87
13.8870967741935,2.42105263157895,276
16.2,1.16666666666667,21
12.6428571428571,1.07142857142857,45
8.52631578947368,1.4375,69
12.4285714285714,1.14285714285714,24
15.6,1.1,33
11.6470588235294,1.9,57
12.3,1.23333333333333,111
9.17647058823529,1.47058823529412,150
11.6,1.38461538461538,54
8.31818181818182,1.53333333333333,69
7.28571428571428,1.33333333333333,24
9,1.1304347826087,78
9,1.125,27
13.5,1.22222222222222,33
10.9411764705882,1.61111111111111,87
21.375,1.13333333333333,51
6,1.05555555555556,57
6.88235294117647,1.42857142857143,60
12,1.65384615384615,129
15.9,1.36842105263158,78
7.33333333333333,1.14285714285714,48
16.2,1.2,18
10.375,1.36842105263158,78
21.75,1.11111111111111,30
8.4,1.52380952380952,96
13.2857142857143,2,48
6,2,6
10.5789473684211,1.3,78
7.09090909090909,1.07692307692308,42
7.36363636363636,1.5,36
13.5,1.85714285714286,78
7.2,1.18181818181818,39
17.25,1.09090909090909,36
9,1.14285714285714,24
13.1666666666667,1.20833333333333,87
10.1538461538462,1.86666666666667,84
6.68571428571429,1.16129032258065,108
10.2857142857143,1.22222222222222,33
11.5,1.16666666666667,21
9,1.125,27
8,1.14285714285714,24
22.2631578947368,1.15,69
27,1.125,27
7,1.16666666666667,63
8.8,1.2,54
9.8,1.15,69
14,1.27272727272727,42
9.35294117647059,2.05263157894737,117
13.5,2.4,72
8.0625,1.2,72
24,1.11111111111111,30
17.76,1.5,126
27.75,1.18181818181818,39
14.1578947368421,1.3265306122449,195
18,1.04166666666667,75
11.25,2,6
15,2,6
6,2,6
12,2,6
15,1.11111111111111,30
12.2307692307692,3.3,99
11.25,2,6
14.2941176470588,2.26086956521739,156
9.73469387755102,1.18181818181818,156
10.551724137931,1.84210526315789,105
8.75,1.44444444444444,39
7.28571428571428,2,96
14.0526315789474,2.09090909090909,69
12,1.1,33
13.8,1.04761904761905,66
12.15,1.16666666666667,63
8.64705882352941,1.38461538461538,54
14.4705882352941,1.25,60
9.6,1.05555555555556,57
12.15,1.46666666666667,66
9.92307692307692,1.52631578947368,87
7.57894736842105,1.44444444444444,78
8.64705882352941,1.8,54
10.5882352941176,4.73333333333333,213
8.29411764705882,1.41176470588235,72
10.0384615384615,6.09090909090909,201
13,1.3,39
8.25,1.43478260869565,99
9.73333333333333,1.78125,171
10.1111111111111,1.25,90
11.6590909090909,2.66666666666667,144
12.3333333333333,1.13333333333333,51
11.3333333333333,2.12,318
7.2,1.06666666666667,48
7.26923076923077,1.41379310344828,123
11.25,1.08333333333333,39
19.1052631578947,1.4,63
9.85714285714286,1.33333333333333,36
14.1333333333333,2.07692307692308,162
10.7,1.58333333333333,114
12.7142857142857,1.10714285714286,93
15,1.125,27
7,2.2,33
13.9411764705882,1.13636363636364,75
18,1.11111111111111,30
11.2040816326531,2.62962962962963,213
11.1428571428571,1.25,30
8.66666666666667,1.11111111111111,30
13.1454545454545,2.21212121212121,219
9.19672131147541,2.77777777777778,225
10.5,1.11111111111111,30
10.6666666666667,1.1,33
7.63636363636364,1.18181818181818,39
15.8571428571429,2,48
6.75,1.66666666666667,60
6.27272727272727,1.44444444444444,39
7.6046511627907,1.41666666666667,153
13.3636363636364,1.20833333333333,87
13.8870967741935,2.42105263157895,276
16.2,1.16666666666667,21
12.6428571428571,1.07142857142857,45
8.52631578947368,1.4375,69
12.4285714285714,1.14285714285714,24
15.6,1.1,33
11.6470588235294,1.9,57
12.3,1.23333333333333,111
9.17647058823529,1.47058823529412,150
11.6,1.38461538461538,54
8.31818181818182,1.53333333333333,69
7.28571428571428,1.33333333333333,24
9,1.1304347826087,78
9,1.125,27
13.5,1.22222222222222,33
10.9411764705882,1.61111111111111,87
21.375,1.13333333333333,51
6,1.05555555555556,57
6.88235294117647,1.42857142857143,60
12,1.65384615384615,129
15.9,1.36842105263158,78
7.33333333333333,1.14285714285714,48
16.2,1.2,18
10.375,1.36842105263158,78
21.75,1.11111111111111,30
8.4,1.52380952380952,96
13.2857142857143,2,48
6,2,6
10.5789473684211,1.3,78
7.09090909090909,1.07692307692308,42
7.36363636363636,1.5,36
13.5,1.85714285714286,78
7.2,1.18181818181818,39
17.25,1.09090909090909,36
9,1.14285714285714,24
13.1666666666667,1.20833333333333,87
10.1538461538462,1.86666666666667,84
6.68571428571429,1.16129032258065,108
10.2857142857143,1.22222222222222,33
11.5,1.16666666666667,21
9,1.125,27
8,1.14285714285714,24
22.2631578947368,1.15,69
27,1.125,27
7,1.16666666666667,63
8.8,1.2,54
9.8,1.15,69
14,1.27272727272727,42
9.35294117647059,2.05263157894737,117
13.5,2.4,72
8.0625,1.2,72
24,1.11111111111111,30
17.76,1.5,126
27.75,1.18181818181818,39
14.1578947368421,1.3265306122449,195
18,1.04166666666667,75
11.25,2,6
15,2,6
6,2,6
12,2,6
15,1.11111111111111,30
12.2307692307692,3.3,99
11.25,2,6
14.2941176470588,2.26086956521739,156
9.73469387755102,1.18181818181818,156
10.551724137931,1.84210526315789,105
8.75,1.44444444444444,39
7.28571428571428,2,96
14.0526315789474,2.09090909090909,69
12,1.1,33
13.8,1.04761904761905,66
12.15,1.16666666666667,63
8.64705882352941,1.38461538461538,54
14.4705882352941,1.25,60
11.7272727272727,1.18181818181818,39
9.6,1.05555555555556,57
9.75,1.1,33
12.75,1.0625,51
10.3548387096774,1.02941176470588,105
10.5,1.1,33
6.81818181818182,1.07692307692308,42
8.33333333333333,1.42857142857143,30
8.57142857142857,1.15384615384615,45
12.15,1.46666666666667,66
9.27272727272727,1.25,60
7.2,1.1,33
12.96,1.04545454545455,138
9.75,1.04761904761905,66
8.84210526315789,1.42857142857143,120
14.1,1.07692307692308,42
8.7,1.1,33
19.4,2.05555555555556,111
14.015625,2.10869565217391,291
6.33333333333333,1.11111111111111,30
9.25,1.18181818181818,39
12.1764705882353,1.11111111111111,60
18.6,1.1,33
8,1.6,24
10.0434782608696,1.41025641025641,165
11.2941176470588,1.05882352941176,54
12.8333333333333,5,120
12.5294117647059,1.47058823529412,75
29.25,1.46153846153846,57
24,1.06666666666667,48
10.0384615384615,6.09090909090909,201
13,1.3,39
8.25,1.43478260869565,99
7.63636363636364,1.1,198
7.10526315789474,1.17391304347826,81
11.8695652173913,1.64705882352941,84
7.8,1.1,33
12,2,78
7.44444444444444,1.70588235294118,87
38.2881355932203,1.01162790697674,261
13.7142857142857,1.03030303030303,102
11.8421052631579,1.02702702702703,114
10.5,1.02127659574468,144
23,1.30769230769231,51
13.8461538461538,1.42553191489362,201
15,2,6
14.0689655172414,5,225
8.22222222222222,1.76315789473684,201
6.93333333333333,1.01818181818182,168
10.9756097560976,1.26190476190476,159
22.9285714285714,1.06666666666667,96
16.6363636363636,1.91666666666667,69
21,1.5,9
6,1.08333333333333,39
11,4,12
11.25,2,6
18.4,1.10526315789474,63
15,1.4,63
11,1.09090909090909,36
6.5,1.15384615384615,45
12,1.86666666666667,84
10.2857142857143,1.08571428571429,114
9.45,2.57142857142857,162
9,1.3,39
15,1.2,36
13.5,1.09090909090909,36
12.2222222222222,1.75,105
11.25,2,6
15,1.71428571428571,108
14.4375,2.09090909090909,69
